# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a cara de perro,,,a cara de perro,cultural_reference,Wiktionary,Wiktionary contributors,,,,fiercely; giving no quarter,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cara_de_perro,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cara descubierta,,,a cara descubierta,cultural_reference,Wiktionary,Wiktionary contributors,,,,totally upfront; from the heart,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cara_descubierta,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cara o cruz,,,a cara o cruz,cultural_reference,Wiktionary,Wiktionary contributors,,,,"toss a coin for, heads or tails",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cara_o_cruz,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a carta cabal,,,a carta cabal,cultural_reference,Wiktionary,Wiktionary contributors,,,,through and through,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_carta_cabal,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cascoporro,,,a cascoporro,cultural_reference,Wiktionary,Wiktionary contributors,,,,by the ton; galore,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cascoporro,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cencerros tapados,,,a cencerros tapados,cultural_reference,Wiktionary,Wiktionary contributors,,,,in secret; on the hush-hush,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cencerros_tapados,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cero,,,a cero,cultural_reference,Wiktionary,Wiktionary contributors,,,,empty,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cero,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cholón,,,a cholón,cultural_reference,Wiktionary,Wiktionary contributors,,,,by the ton; galore,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_chol%C3%B3n,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a ciegas,,,a ciegas,cultural_reference,Wiktionary,Wiktionary contributors,,,,blindly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_ciegas,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cien,,,a cien,cultural_reference,Wiktionary,Wiktionary contributors,,,,at speed; at top speed,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cien,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a ciencia cierta,,,a ciencia cierta,cultural_reference,Wiktionary,Wiktionary contributors,,,,"for sure, for certain, without doubt",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_ciencia_cierta,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cobro revertido,,,a cobro revertido,cultural_reference,Wiktionary,Wiktionary contributors,,,,"collect, reverse-charge",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cobro_revertido,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a compás,,,a compás,cultural_reference,Wiktionary,Wiktionary contributors,,,,in unison; in harmony; in lockstep,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_comp%C3%A1s,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a competencia,,,a competencia,cultural_reference,Wiktionary,Wiktionary contributors,,,,eagerly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_competencia,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a conciencia,,,a conciencia,cultural_reference,Wiktionary,Wiktionary contributors,,,,"carefully, meticulously; conscientiously, on purpose",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_conciencia,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a continuación,,,a continuación,cultural_reference,Wiktionary,Wiktionary contributors,,,,"next, up next",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_continuaci%C3%B3n,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a contracorriente,,,a contracorriente,cultural_reference,Wiktionary,Wiktionary contributors,,,,against the current; against the flow,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_contracorriente,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a contramano,,,a contramano,cultural_reference,Wiktionary,Wiktionary contributors,,,,in the other direction; the wrong way,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_contramano,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a contrapelo,,,a contrapelo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"backwards, contrary",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_contrapelo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a contrarreloj,,,a contrarreloj,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_contrarreloj,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a corto plazo,,,a corto plazo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"short-term, in the short term, in the short run",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_corto_plazo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a cucucho,,,a cucucho,cultural_reference,Wiktionary,Wiktionary contributors,,,,(on) piggyback,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cucucho,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
