# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ar,البحر يحب الزيادة,,,البحر يحب الزيادة,cultural_reference,Wiktionary,Wiktionary contributors,,,,"the more one has, the more one wants (literally, the sea likes to increase)",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D9%8A%D8%AD%D8%A8_%D8%A7%D9%84%D8%B2%D9%8A%D8%A7%D8%AF%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,الغرم بالغنم,,,الغرم بالغنم,cultural_reference,Wiktionary,Wiktionary contributors,,,,whoever benefits also suffers the loss,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%84%D8%BA%D8%B1%D9%85_%D8%A8%D8%A7%D9%84%D8%BA%D9%86%D9%85,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,القشة التي قصمت ظهر البعير,,,القشة التي قصمت ظهر البعير,cultural_reference,Wiktionary,Wiktionary contributors,,,,the straw that broke the camel's back,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%84%D9%82%D8%B4%D8%A9_%D8%A7%D9%84%D8%AA%D9%8A_%D9%82%D8%B5%D9%85%D8%AA_%D8%B8%D9%87%D8%B1_%D8%A7%D9%84%D8%A8%D8%B9%D9%8A%D8%B1,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,اللف والدوران,,,اللف والدوران,cultural_reference,Wiktionary,Wiktionary contributors,,,,beating around the bush,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%84%D9%84%D9%81_%D9%88%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D8%A7%D9%86,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,انقلب على عقبيه,,,انقلب على عقبيه,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to turn on one's heel, to turn tail",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%86%D9%82%D9%84%D8%A8_%D8%B9%D9%84%D9%89_%D8%B9%D9%82%D8%A8%D9%8A%D9%87,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بأبهى حلة,,,بأبهى حلة,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to the nines, to the hilt, at its best, at its finest",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%A3%D8%A8%D9%87%D9%89_%D8%AD%D9%84%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بحذافيره,,,بحذافيره,cultural_reference,Wiktionary,Wiktionary contributors,,,,"verbatim, in every detail, wholly, completely, to the letter, by the book",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%AD%D8%B0%D8%A7%D9%81%D9%8A%D8%B1%D9%87,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,برميل,,,برميل,cultural_reference,Wiktionary,Wiktionary contributors,,,,"barrel, cask, keg, drum",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%B1%D9%85%D9%8A%D9%84,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بسط يده,,,بسط يده,cultural_reference,Wiktionary,Wiktionary contributors,,,,to give generously,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%B3%D8%B7_%D9%8A%D8%AF%D9%87,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بشق الأنفس,,,بشق الأنفس,cultural_reference,Wiktionary,Wiktionary contributors,,,,by grinding out,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%B4%D9%82_%D8%A7%D9%84%D8%A3%D9%86%D9%81%D8%B3,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
